@relation 'MLC'

@attribute F1_MINIMUM_GYR_X numeric
@attribute F2_MAXIMUM_GYR_X numeric
@attribute F3_VARIANCE_GYR_X numeric
@attribute F4_PEAK_TO_PEAK_GYR_X numeric
@attribute F5_ABS_MEAN_GYR_V numeric
@attribute F6_ENERGY_GYR_X numeric
@attribute F7_MAXIMUM_ACC_Y numeric
@attribute F8_MAXIMUM_ACC_X numeric
@attribute F9_MAXIMUM_ACC_Z numeric
@attribute F10_MEAN_ACC_Z numeric
@attribute F11_MEAN_ACC_Y numeric
@attribute F12_ABS_MINIMUM_ACC_V numeric
@attribute F13_ENERGY_ACC_Y numeric
@attribute F14_MINIMUM_ACC_Y numeric
@attribute F15_ENERGY_ACC_X numeric
@attribute class {Static, Screwdriving-Correct, Screwdriving-Incorrect, Snipping-Correct, Snipping-Incorrect}

@data
-0.0164795, 0.010376, 2.49743e-05, 0.0268555, 0.0104752, 0.00313377, -0.97168, 0.11908, -0.03302, -0.0433044, -0.988281, 0.979004, 78.5, -0.996582, 1.05371, Static
-0.0140381, 0.0170898, 4.35114e-05, 0.0311279, 0.0115662, 0.00387764, -0.973633, 0.120056, -0.0339966, -0.045166, -0.986816, 0.980469, 78.6875, -0.992676, 1.05762, Static
-0.0128174, 0.0140381, 3.34382e-05, 0.0268555, 0.0104218, 0.00327873, -0.973633, 0.12207, -0.0339966, -0.0408936, -0.986816, 0.980957, 78.8125, -0.993652, 1.13574, Static
-0.0244141, 0.0195313, 8.11219e-05, 0.0439453, 0.0127945, 0.00681305, -0.973633, 0.126099, -0.0339966, -0.043335, -0.990234, 0.980957, 78.5625, -0.991699, 1.20801, Static
-0.0134277, 0.0158691, 4.6134e-05, 0.0292969, 0.0116043, 0.00374413, -0.967773, 0.128052, -0.0300293, -0.0393066, -0.985352, 0.975586, 78.3125, -0.992676, 1.22852, Static
-0.0158691, 0.0183105, 3.60012e-05, 0.0341797, 0.00894165, 0.00408936, -0.522461, -0.194092, 0.822266, 0.813477, -0.531738, 0.991699, 22.9375, -0.541504, 3.28711, Static
-0.00793457, 0.0109863, 1.39475e-05, 0.0189209, 0.00442886, 0.00112915, -0.521484, -0.200195, 0.82373, 0.817871, -0.529297, 0.994141, 22.5, -0.53125, 3.32227, Static
-0.00610352, 0.00854492, 9.23872e-06, 0.0146484, 0.0039978, 0.000751019, -0.519531, -0.199097, 0.824707, 0.817871, -0.525391, 0.994629, 22.2813, -0.530273, 3.32617, Static
-0.0115967, 0.00976563, 1.71661e-05, 0.0213623, 0.00514603, 0.00175095, -0.513184, -0.199097, 0.827637, 0.818848, -0.521484, 0.993164, 21.9375, -0.530273, 3.31445, Static
-0.0250244, 0.0177002, 5.59688e-05, 0.0427246, 0.00834656, 0.00489044, -0.51123, -0.191162, 0.82959, 0.822754, -0.520996, 0.992676, 21.8125, -0.52832, 3.28516, Static
-0.00549316, 0.00732422, 1.15633e-05, 0.0128174, 0.00409698, 0.000955582, -0.512207, -0.199097, 0.828613, 0.822754, -0.52002, 0.995117, 21.6875, -0.521484, 3.29492, Static
-0.00732422, 0.00610352, 1.13249e-05, 0.0134277, 0.00386047, 0.000940323, -0.512207, -0.19812, 0.82959, 0.830566, -0.515625, 0.994629, 21.5781, -0.519531, 3.2832, Static
-0.00793457, 0.00671387, 1.03116e-05, 0.0146484, 0.00382233, 0.000833988, -0.507324, -0.199097, 0.830566, 0.833496, -0.51416, 0.993652, 21.4844, -0.521484, 3.29688, Static
-0.00671387, 0.00427246, 6.02007e-06, 0.0109863, 0.00328827, 0.000552654, -0.508301, -0.19812, 0.831543, 0.834961, -0.512207, 0.995117, 21.4219, -0.518555, 3.27734, Static
-0.00366211, 0.00427246, 4.05312e-06, 0.00793457, 0.00272942, 0.000342131, -0.508301, -0.197144, 0.83252, 0.834961, -0.51123, 0.994629, 21.3438, -0.518555, 3.24609, Static
-0.00732422, 0.00793457, 1.055e-05, 0.0152588, 0.00392532, 0.000859737, -0.504395, -0.197144, 0.834473, 0.834961, -0.508789, 0.994141, 21.1563, -0.518555, 3.25195, Static
-0.00671387, 0.00427246, 4.41074e-06, 0.0109863, 0.002882, 0.000421762, -0.503418, -0.19812, 0.833496, 0.835938, -0.508301, 0.994141, 21, -0.515137, 3.25195, Static
-0.0201416, 0.0164795, 4.4167e-05, 0.0366211, 0.00660324, 0.00368118, -0.510254, -0.353271, 0.772461, 0.769043, -0.525391, 0.988281, 22.2344, -0.537109, 10.2891, Static
-0.0408936, 0.0415039, 0.000271559, 0.0823975, 0.0182953, 0.0270844, -0.510254, -0.347168, 0.772461, 0.757324, -0.531738, 0.987305, 23.0313, -0.550293, 10.2734, Static
-0.0585938, 0.0482178, 0.000466108, 0.106812, 0.0223541, 0.0380249, -0.524414, -0.340332, 0.766602, 0.755371, -0.535645, 0.989258, 23.3438, -0.558594, 10.2266, Static
-0.0189209, 0.0183105, 6.60419e-05, 0.0372314, 0.00908661, 0.00537491, -0.520508, -0.351318, 0.767578, 0.767578, -0.530273, 0.992676, 22.625, -0.536133, 10.3203, Static
-0.00549316, 0.00915527, 7.39098e-06, 0.0146484, 0.00304604, 0.000600815, -0.521484, -0.354248, 0.768555, 0.772949, -0.52832, 0.994141, 22.4688, -0.53125, 10.3125, Static
-0.00915527, 0.00793457, 1.5378e-05, 0.0170898, 0.00533295, 0.00147915, -0.51709, -0.354248, 0.769531, 0.772949, -0.525879, 0.993164, 22.2813, -0.52832, 10.3203, Static
-0.00671387, 0.00854492, 1.055e-05, 0.0152588, 0.00386429, 0.000864029, -0.518555, -0.352295, 0.770508, 0.773438, -0.52832, 0.993652, 22.4063, -0.529297, 10.2109, Static
-0.0109863, 0.00549316, 1.09673e-05, 0.0164795, 0.00448608, 0.00131035, -0.515137, -0.350342, 0.770508, 0.772949, -0.52832, 0.992676, 22.4844, -0.53418, 10.1484, Static
-0.00671387, 0.00610352, 7.33137e-06, 0.0128174, 0.00306702, 0.000634193, -0.522461, -0.350342, 0.770508, 0.772949, -0.529785, 0.993652, 22.5313, -0.530273, 10.1094, Static
-0.00732422, 0.00488281, 5.30481e-06, 0.012207, 0.00276375, 0.000505447, -0.519531, -0.348145, 0.770508, 0.773926, -0.529297, 0.994141, 22.5156, -0.53125, 10.0391, Static
-0.010376, 0.00488281, 7.03335e-06, 0.0152588, 0.00323486, 0.000722885, -0.521484, -0.347168, 0.770508, 0.773926, -0.528809, 0.994141, 22.4688, -0.530273, 10, Static
-0.0244141, 0.020752, 0.000114441, 0.045166, 0.0132904, 0.00927734, -0.939453, 0.295166, 0.0200195, 0.0126495, -0.946777, 0.982422, 73.3125, -0.959473, 6.76172, Static
